Number of instances,Time
0,0
1,36.6606064
2,44.3892822
3,48.8649355
4,49.810576999999995
5,47.387273900000004
6,62.751689400000004
7,68.5781186
8,48.138245999999995
9,80.31898639999999
10,90.5058301
